id,text,label,confidence_score,camera_id,location,time,state,split,clean_text,label_encoded,alert_level_HIGH,alert_level_LOW,alert_level_MEDIUM,city_Coimbatore,city_Cuddalore,city_Dindigul,city_Erode,city_Hosur,city_Kanchipuram,city_Karur,city_Kumbakonam,city_Madurai,city_Nagercoil,city_Namakkal,city_Salem,city_Sivakasi,city_Thanjavur,city_Thoothukudi,city_Tiruchirappalli,city_Tirunelveli,city_Tiruppur,city_Vellore,hour
1,"Night patrol AI report — Koyambedu market, Thanjavur at 10:45 PM. Female pedestrian count: 1. App notification sent for escort service.",lone_walking_night,0.37037037037037024,260,15,10:45 PM,Tamil Nadu,val,night patrol ai report koyambedu market thanjavur at 1045 pm female pedestrian count 1 app notification sent for escort service,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,22
2,"AI flagged aggressive group posture near female pedestrian at Coimbatore Gandhipuram bus stop, Hosur. Time: 2:30 AM. Backup from Hosur Police requested.",group_harassment,0.6296296296296298,232,5,2:30 AM,Tamil Nadu,train,ai flagged aggressive group posture near female pedestrian at coimbatore gandhipuram bus stop hosur time 230 am backup from hosur police requested,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
3,"Woman at Salem Steel Plant road, Thoothukudi at 9:30 PM near ATM. Transaction completed. Moving normally. Status: SAFE.",safe,0.5555555555555558,552,33,9:30 PM,Tamil Nadu,train,woman at salem steel plant road thoothukudi at 930 pm near atm transaction completed moving normally status safe,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,21
4,"Woman detected walking alone near Goripalayam junction, Vellore at 3:30 AM. No companion visible. Area poorly lit. Tamil Nadu Police alert dispatched.",lone_walking_night,0.5555555555555558,916,9,3:30 AM,Tamil Nadu,val,woman detected walking alone near goripalayam junction vellore at 330 am no companion visible area poorly lit tamil nadu police alert dispatched,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3
5,"Stalking behaviour detected at VOC Park pathway, Erode: Subject changed direction twice; follower replicated both turns. Time: 3:30 AM.",being_followed,0.666666666666667,668,44,3:30 AM,Tamil Nadu,train,stalking behaviour detected at voc park pathway erode subject changed direction twice follower replicated both turns time 330 am,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
6,"Woman displaying rapid head turns and looking back repeatedly at Koyambedu market, Thanjavur at 12:30 AM. Distress posture detected.",distress_signal,0.7037037037037042,362,15,12:30 AM,Tamil Nadu,train,woman displaying rapid head turns and looking back repeatedly at koyambedu market thanjavur at 1230 am distress posture detected,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
7,"Gait analysis: Female at Palayamkottai night road, Salem at 2:30 AM shows 82% distress probability. Salem Police intervention recommended.",distress_signal,0.40740740740740744,908,26,2:30 AM,Tamil Nadu,test,gait analysis female at palayamkottai night road salem at 230 am shows 82 distress probability salem police intervention recommended,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2
8,"Abnormal movement pattern: Female subject running intermittently near Karur textile market lane, Cuddalore at 3:00 AM. Possible escape behaviour.",distress_signal,0.592592592592593,303,13,3:00 AM,Tamil Nadu,train,abnormal movement pattern female subject running intermittently near karur textile market lane cuddalore at 300 am possible escape behaviour,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
9,"Deep learning classifier — Tiruchirappalli Chatram bus stop, Thoothukudi: Subject accelerated pace 40% in 2 minutes. Time: 3:30 AM. Flagged HIGH.",distress_signal,0.8148148148148149,508,41,3:30 AM,Tamil Nadu,test,deep learning classifier tiruchirappalli chatram bus stop thoothukudi subject accelerated pace 40 in 2 minutes time 330 am flagged high,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3
10,"Gait analysis — Porur flyover footpath, Nagercoil (8:30 PM): Female shows 78% distress probability. Nagercoil Police intervention recommended.",suspicious_behavior,0.1111111111111116,379,30,8:30 PM,Tamil Nadu,train,gait analysis porur flyover footpath nagercoil 830 pm female shows 78 distress probability nagercoil police intervention recommended,6,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,20
11,"Low-light camera activated at Nagercoil bus stand area, Salem at 4:00 AM. Thermal imaging shows lone female. Safe passage protocol triggered.",lone_walking_night,0.7777777777777781,802,23,4:00 AM,Tamil Nadu,train,lowlight camera activated at nagercoil bus stand area salem at 400 am thermal imaging shows lone female safe passage protocol triggered,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4
12,"Woman displaying rapid head turns and looking back repeatedly at Guindy underpass, Sivakasi at 3:30 AM. Distress posture detected.",distress_signal,0.0370370370370372,417,10,3:30 AM,Tamil Nadu,train,woman displaying rapid head turns and looking back repeatedly at guindy underpass sivakasi at 330 am distress posture detected,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
13,"Abnormal movement pattern: Female subject running intermittently near Varadharaja Perumal temple road, Thoothukudi at 4:00 AM. Possible escape behaviour.",distress_signal,0.22222222222222276,415,46,4:00 AM,Tamil Nadu,val,abnormal movement pattern female subject running intermittently near varadharaja perumal temple road thoothukudi at 400 am possible escape behaviour,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4
